,Open,High,Low,Close,Adj Close,Volume
count,756.0,756.0,756.0,756.0,756.0,756.0
mean,10237.015786468668,10306.34324234251,10158.81291788091,10239.393236917163,10239.393236917163,3582877288.3597884
std,2682.261197806778,2688.136806811475,2669.7783423642704,2680.9520277634124,2680.9520277634124,1550244864.758164
min,6257.85986328125,6355.18017578125,6190.169921875,6192.919921875,6192.919921875,958950000.0
25%,7942.577392578125,7992.239990234375,7899.297607421875,7950.150146484375,7950.150146484375,2247362500.0
50%,9262.18505859375,9316.2548828125,9186.86474609375,9271.5400390625,9271.5400390625,3579665000.0
75%,12973.0498046875,13094.442626953125,12879.662353515625,12997.9375,12997.9375,4418307500.0
max,15375.98046875,15403.4404296875,15343.2802734375,15374.330078125,15374.330078125,11621190000.0
