,Open,High,Low,Close,Adj Close,Volume
count,755.0,755.0,755.0,755.0,755.0,755.0
mean,6066.412819484685,6094.93447394971,6034.931840464611,6067.503061620447,6067.503061620447,1980463708.6092715
std,1064.9249214171562,1069.3396950597794,1059.0115128162772,1063.4892518186614,1063.4892518186614,375278029.8591717
min,4218.81005859375,4293.22021484375,4209.759765625,4266.83984375,4266.83984375,706880000.0
25%,5118.1201171875,5140.56982421875,5093.594970703125,5113.094970703125,5113.094970703125,1761735000.0
50%,5907.85986328125,5926.22998046875,5888.1201171875,5904.02978515625,5904.02978515625,1930840000.0
75%,6987.955078125,7062.965087890625,6941.30517578125,6993.71484375,6993.71484375,2125180000.0
max,8094.2001953125,8133.2998046875,8079.31005859375,8109.68994140625,8109.68994140625,4411040000.0
