,Open,High,Low,Close,Adj Close,Volume
count,753.0,753.0,753.0,753.0,753.0,753.0
mean,13896.531185155212,14004.74143659736,13781.371958779466,13898.067263498091,13898.067263498091,5105667011.952191
std,2195.908714036973,2188.8210382949046,2194.9812076410703,2193.130126319333,2193.130126319333,875563005.0618562
min,10131.8203125,10393.2197265625,10088.830078125,10213.2900390625,10213.2900390625,2184080000.0
25%,11946.8603515625,12084.9501953125,11853.3603515625,11984.51953125,11984.51953125,4574080000.0
50%,13687.23046875,13789.16015625,13573.580078125,13708.330078125,13708.330078125,4981590000.0
75%,15696.830078125,15796.0498046875,15569.26953125,15655.599609375,15655.599609375,5440100000.0
max,18659.25,18671.0703125,18467.580078125,18647.44921875,18647.44921875,11932600000.0
